bits,lcg,lfg
40,227.91020000030596,1178.6519666664303
56,232.47023333385587,1436.5069333329798
80,669.8891666668156,3928.796433332314
128,2398.93143333445,12947.84923333327
168,6119.663933334251,13254.23380000045
224,11336.234099999816,52474.247100000335
256,35274.767699999116,97721.23913333316
512,152193.46689999997,389430.93903333595
1024,1089751.1065333337,2163535.3646333343
2048,12165331.110633343,26795962.629066657
4096,179313005.35700005,174340404.21316653
