bits,lcg,lfg
40,3.269927989959717,20.674581020355223
56,3.0917149238586425,20.026569034576415
80,3.544673034667969,21.619882011413573
128,4.19629203414917,25.75307799530029
168,5.16032689666748,29.120840976715087
224,5.925531963348389,33.971003005981444
256,6.277120986938477,36.99338301849365
512,12.512878009796143,71.90109796905517
1024,35.302892845153806,183.14300605010988
2048,153.78468407821654,759.8803499031067
4096,963.036367980957,4095.1285600624083
